date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,Tests_per_million,Cases_per_million
12/31/2019,0,0,0,0,0,0,0,0
1/1/2020,0,0,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0,0,0
1/3/2020,0,0,0,0,0,0,0,0
1/4/2020,0,0,0,0,0,0,0,0
1/5/2020,0,0,0,0,0,0,0,0
1/6/2020,0,0,0,0,0,0,0,0
1/7/2020,0,0,0,0,0,0,0,0
1/8/2020,0,0,0,0,0,0,0,0
1/9/2020,0,0,0,0,0,0,0,0
1/10/2020,0,0,0,0,0,0,0,0
1/11/2020,0,0,0,0,0,0,0,0
1/12/2020,0,0,0,0,0,0,0,0
1/13/2020,0,0,0,0,0,0,0,0
1/14/2020,0,0,0,0,0,0,0,0
1/15/2020,0,0,0,0,0,0,0,0
1/16/2020,0,0,0,0,0,0,0,0
1/17/2020,0,0,0,0,0,0,0,0
1/18/2020,0,0,0,0,0,0,0,0
1/19/2020,0,0,0,0,0,0,0,0
1/20/2020,0,0,0,0,0,0,0,0
1/21/2020,0,0,0,0,0,0,0,0
1/22/2020,0,0,0,0,0,0,0,0
1/23/2020,0,0,0,0,0,0,0,0
1/24/2020,0,0,0,0,0,0,0,0
1/25/2020,0,0,0,0,0,0,0,0
1/26/2020,0,0,0,0,0,0,0,0
1/27/2020,0,0,0,0,0,0,0,0
1/28/2020,0,0,0,0,0,0,0,0
1/29/2020,0,0,0,0,0,0,0,0
1/30/2020,1,1,0,0,0,0,0,0.000001
1/31/2020,1,0,0,0,0,0,0,0
2/1/2020,1,0,0,0,0,0,0,0
2/2/2020,2,1,0,0,0,0,0,0.000001
2/3/2020,2,0,0,0,0,0,0,0
2/4/2020,3,1,0,0,0,0,0,0.000001
2/5/2020,3,0,0,0,0,0,0,0
2/6/2020,3,0,0,0,0,0,0,0
2/7/2020,3,0,0,0,0,0,0,0
2/8/2020,3,0,0,0,0,0,0,0
2/9/2020,3,0,0,0,0,0,0,0
2/10/2020,3,0,0,0,0,0,0,0
2/11/2020,3,0,0,0,0,0,0,0
2/12/2020,3,0,0,0,0,0,0,0
2/13/2020,3,0,0,0,0,0,0,0
2/14/2020,3,0,0,0,0,0,0,0
2/15/2020,3,0,0,0,0,0,0,0
2/16/2020,3,0,0,0,0,0,0,0
2/17/2020,3,0,0,0,0,0,0,0
2/18/2020,3,0,0,0,0,0,0,0
2/19/2020,3,0,0,0,0,0,0,0
2/20/2020,3,0,0,0,0,0,0,0
2/21/2020,3,0,0,0,0,0,0,0
2/22/2020,3,0,0,0,0,0,0,0
2/23/2020,3,0,0,0,0,0,0,0
2/24/2020,3,0,0,0,0,0,0,0
2/25/2020,3,0,0,0,0,0,0,0
2/26/2020,3,0,0,0,0,0,0,0
2/27/2020,3,0,0,0,0,0,0,0
2/28/2020,3,0,0,0,0,0,0,0
2/29/2020,3,0,0,0,0,0,0,0
3/1/2020,3,0,0,0,0,0,0,0
3/2/2020,3,0,0,0,0,0,0,0
3/3/2020,5,2,0,0,0,0,0,0.000002
3/4/2020,6,1,0,0,0,0,0,0.000001
3/5/2020,28,22,0,0,0,0,0,0.000022
3/6/2020,29,1,0,0,0,0,0,0.000001
3/7/2020,31,2,0,0,0,0,0,0.000002
3/8/2020,34,3,0,0,0,0,0,0.000003
3/9/2020,34,3,0,0,0,0,0,0.000003
3/10/2020,44,10,0,0,0,0,0,0.00001
3/11/2020,50,6,0,0,0,0,0,0.000006
3/12/2020,73,23,0,0,0,0,0,0.000023
3/13/2020,75,2,1,1,6500,6500,0.0065,0.000002
3/14/2020,83,8,2,1,0,0,0,0.000008
3/15/2020,90,7,2,0,0,0,0,0.000007
3/16/2020,93,3,2,0,0,0,0,0.000003
3/17/2020,125,32,3,1,0,0,0,0.000032
3/18/2020,137,12,3,0,0,13125,0,0.000012
3/19/2020,165,28,3,0,191,13316,0.000191,0.000028
3/20/2020,191,26,4,1,1060,14376,0.00106,0.000026
3/21/2020,231,40,4,0,1325,15701,0.001325,0.00004
3/22/2020,320,89,4,0,1298,16999,0.001298,0.000089
3/23/2020,439,119,7,3,3708,20707,0.003708,0.000119
3/24/2020,492,53,9,2,157,20864,0.000157,0.000053
3/25/2020,562,70,9,0,4280,25144,0.00428,0.00007
3/26/2020,649,87,13,4,4280,25144,0.00428,0.000087
3/27/2020,724,75,17,4,2544,27688,0.002544,0.000075
3/28/2020,873,149,19,2,2544,27688,0.002544,0.000149
3/29/2020,979,106,25,6,3755,27688,0.003755,0.000106
3/30/2020,1071,92,29,4,1334,27688,0.001334,0.000092
3/31/2020,1251,180,32,3,1733,35987,0.001733,0.00018
4/1/2020,1397,146,35,3,3298,42897,0.003298,0.000146
4/2/2020,1965,568,50,15,5647,47951,0.005647,0.000568
4/3/2020,2301,336,56,6,21294,69245,0.021294,0.000336
4/4/2020,2902,601,68,12,10705,79950,0.010705,0.000601
4/5/2020,3374,472,77,9,9584,89534,0.009584,0.000472
4/6/2020,4067,693,109,32,11534,101068,0.011534,0.000693
4/7/2020,4421,354,114,5,12947,114015,0.012947,0.000354
4/8/2020,5194,773,149,35,13904,127919,0.013904,0.000773
4/9/2020,5734,540,166,17,16991,144910,0.016991,0.00054
4/10/2020,6412,678,199,33,16420,161330,0.01642,0.000678
4/11/2020,7447,1035,239,40,18044,179374,0.018044,0.001035
4/12/2020,8356,909,273,34,16374,195748,0.016374,0.000909
4/13/2020,9152,796,308,35,21806,217554,0.021806,0.000796
4/14/2020,10363,1211,339,31,27339,244893,0.027339,0.001211
4/15/2020,11438,1075,377,38,29706,274599,0.029706,0.001075
4/16/2020,12380,942,414,37,28357,302956,0.028357,0.000942
4/17/2020,13387,1007,437,23,32167,335123,0.032167,0.001007
4/18/2020,14378,991,480,43,37000,372123,0.037,0.000991
4/19/2020,15712,1334,507,27,29463,401586,0.029463,0.001334
4/20/2020,17265,1553,543,36,29463,401586,0.029463,0.001553
4/21/2020,18600,1335,590,47,29463,462621,0.029463,0.001335
4/22/2020,19984,1384,640,50,35987,462621,0.035987,0.001384
4/23/2020,21393,1409,681,41,35987,500542,0.035987,0.001409
4/24/2020,23077,1684,718,37,41247,541789,0.041247,0.001684
4/25/2020,24506,1429,775,57,38168,579957,0.038168,0.001429
4/26/2020,26496,1990,824,49,45352,625309,0.045352,0.00199
4/27/2020,27892,1396,872,48,40510,665819,0.04051,0.001396
4/28/2020,29435,1543,934,62,50914,716733,0.050914,0.001543
4/29/2020,31332,1897,1007,73,54031,770764,0.054031,0.001897
4/30/2020,33050,1718,1074,67,59437,830201,0.059437,0.001718
5/1/2020,35043,1993,1147,73,72453,902654,0.072453,0.001993
5/2/2020,37336,2293,1218,71,73709,976363,0.073709,0.002293
5/3/2020,39980,2644,1301,83,70087,1046450,0.070087,0.002644
5/4/2020,42533,2553,1373,72,60783,1107233,0.060783,0.002553
5/5/2020,46433,3900,1568,195,84713,1191946,0.084713,0.0039
5/6/2020,49391,2958,1694,126,84835,1276781,0.084835,0.002958
5/7/2020,52952,3561,1783,89,80632,1357413,0.080632,0.003561
5/8/2020,56342,3390,1886,103,80375,1437788,0.080375,0.00339
5/9/2020,59662,3320,1981,95,85425,1523213,0.085425,0.00332
5/10/2020,62939,3277,2109,128,85824,1609037,0.085824,0.003277
5/11/2020,67152,4213,2206,97,64651,1673688,0.064651,0.004213
5/12/2020,70756,3604,2293,87,85891,1759579,0.085891,0.003604
5/13/2020,74281,3525,2415,122,94671,1854250,0.094671,0.003525
5/14/2020,78003,3722,2549,134,92791,1947041,0.092791,0.003722
5/15/2020,81970,3967,2649,100,92911,2039952,0.092911,0.003967
5/16/2020,85940,3970,2752,103,94325,2134277,0.094325,0.00397
5/17/2020,90927,4987,2872,120,93365,2227642,0.093365,0.004987
5/18/2020,96169,5242,3029,157,75150,2302792,0.07515,0.005242
5/19/2020,101139,4970,3163,134,101475,2404267,0.101475,0.00497
5/20/2020,106750,5611,3303,140,108121,2512388,0.108121,0.005611
5/21/2020,112359,5609,3435,132,103532,2615920,0.103532,0.005609
5/22/2020,118447,6088,3583,148,103514,2719434,0.103514,0.006088
5/23/2020,125101,6654,3720,137,115364,2834798,0.115364,0.006654
5/24/2020,131868,6767,3867,147,108623,2943421,0.108623,0.006767
5/25/2020,138845,6977,4021,154,90170,3033591,0.09017,0.006977
5/26/2020,145380,6535,4167,146,92528,3126119,0.092528,0.006535
5/27/2020,151767,6387,4337,170,116041,3242160,0.116041,0.006387
5/28/2020,158333,6566,4531,194,119976,3362136,0.119976,0.006566
5/29/2020,165799,7466,4706,175,121702,3483838,0.121702,0.007466
5/30/2020,173763,7964,4971,265,127761,3611599,0.127761,0.007964
5/31/2020,182143,8380,5164,193,125428,3737027,0.125428,0.00838
6/1/2020,190535,8392,5394,230,100180,3837207,0.10018,0.008392
6/2/2020,198706,8171,5598,204,128868,3966075,0.128868,0.008171
6/3/2020,207615,8909,5815,217,137158,4103233,0.137158,0.008909
6/4/2020,216919,9304,6075,260,139485,4242718,0.139485,0.009304
6/5/2020,226770,9851,6348,273,143661,4386379,0.143661,0.009851
6/6/2020,236657,9887,6642,294,137938,4524317,0.137938,0.009887
6/7/2020,246628,9971,6929,287,142069,4666386,0.142069,0.009971
6/8/2020,256611,9983,7135,206,108048,4774434,0.108048,0.009983
6/9/2020,266598,9987,7466,331,141682,4916116,0.141682,0.009987
6/10/2020,276583,9985,7745,279,145216,5061332,0.145216,0.009985
6/11/2020,286579,9996,8102,357,151808,5213140,0.151808,0.009996
6/12/2020,297535,10956,8498,396,150305,5363445,0.150305,0.010956
6/13/2020,308993,11458,8884,386,143737,5507182,0.143737,0.011458
6/14/2020,320922,11929,9195,311,151432,5658614,0.151432,0.011929
6/15/2020,332424,11502,9520,325,115519,5774133,0.115519,0.011502
6/16/2020,343091,10667,9900,380,146936,5921069,0.146936,0.010667
6/17/2020,354065,10974,11903,2003,163187,6084256,0.163187,0.010974
6/18/2020,366946,12881,12237,334,165412,6249668,0.165412,0.012881
6/19/2020,380532,13586,12573,336,176959,6426627,0.176959,0.013586
6/20/2020,395048,14516,12948,375,189869,6616496,0.189869,0.014516
6/21/2020,410461,15413,13254,306,190730,6807226,0.19073,0.015413
6/22/2020,425282,14821,13699,445,143267,6950493,0.143267,0.014821
6/23/2020,440215,14933,14011,312,187223,7137716,0.187223,0.014933
6/24/2020,456183,15968,14476,465,215195,7352911,0.215195,0.015968
6/25/2020,473105,16922,14894,418,207871,7560782,0.207871,0.016922
6/26/2020,490401,17296,15301,407,215446,7776228,0.215446,0.017296
6/27/2020,508953,18552,15685,384,220479,7996707,0.220479,0.018552
6/28/2020,528859,19906,16095,410,231095,8227802,0.231095,0.019906
6/29/2020,548318,19459,16475,380,170560,8398362,0.17056,0.019459
6/30/2020,566840,18522,16893,418,210292,8608654,0.210292,0.018522
7/1/2020,585493,18653,17400,507,217931,8826585,0.217931,0.018653
7/2/2020,604641,19148,17834,434,229588,9056173,0.229588,0.019148
7/3/2020,625544,20903,18213,379,241576,9297749,0.241576,0.020903
7/4/2020,648315,22771,18655,442,242383,9540132,0.242383,0.022771
7/5/2020,673165,24850,19268,613,248934,9789066,0.248934,0.02485
7/6/2020,697413,24248,19693,425,180596,9969662,0.180596,0.024248
7/7/2020,719665,22252,20160,467,241430,10211092,0.24143,0.022252
7/8/2020,742417,22752,20642,482,262679,10473771,0.262679,0.022752
7/9/2020,767296,24879,21129,487,267061,10740832,0.267061,0.024879
7/10/2020,793802,26506,21604,475,283659,11024491,0.283659,0.026506
7/11/2020,820916,27114,22123,519,282511,11307002,0.282511,0.027114
7/12/2020,849553,28637,22674,551,280151,11587153,0.280151,0.028637
7/13/2020,878254,28701,23174,500,219103,11806256,0.219103,0.028701
7/14/2020,906752,28498,23727,553,286247,12092503,0.286247,0.028498
7/15/2020,936181,29429,24309,582,320161,12412664,0.320161,0.029429
7/16/2020,968876,32695,24915,606,326826,12739490,0.326826,0.032695
7/17/2020,1003832,34956,25602,687,333228,13072718,0.333228,0.034956
7/18/2020,1038716,34884,26273,671,361024,13433742,0.361024,0.034884
7/19/2020,1077618,38902,26816,543,358127,13791869,0.358127,0.038902
7/20/2020,1118043,40425,27497,681,256039,14047908,0.256039,0.040425
7/21/2020,1155191,37148,28084,587,333395,14381303,0.333395,0.037148
7/22/2020,1192915,37724,28732,648,343243,14724546,0.343243,0.037724
7/23/2020,1238635,45720,29861,1129,350823,15075369,0.350823,0.04572
7/24/2020,1287945,49310,30601,740,352801,15428170,0.352801,0.04931
